
TestCase 	2020.10.22 16:19:41:	 sqlQueryTests.tests.GetChromeFirefoxTests
INFO	2020.10.22 16:19:41  sqlQueryTests.tests.GetChromeFirefoxTests:	Result of getAllProjectsWithUniqueTestsAmount query:
Nexage | 105
Brand Alley | 14
Bercut | 37
Megafon | 32
Envisia | 12
Iota | 64

TestCase 	2020.10.22 16:19:41:	 sqlQueryTests.tests.GetChromeFirefoxTests
INFO	2020.10.22 16:19:41  sqlQueryTests.tests.GetChromeFirefoxTests:	Result of getMinTimeOfEveryTest query:
Megafon | KS-5700 Sellers: Position Setup: add and edit position with Native type | 144
Megafon | KS-5759 Sellers: Position Setup: add In-stream Video position and check all correct data are shown in PSS, update in PSS and check in seller admin | 325
Megafon | KS-5817 Verify that ONE: Mobile Marketplace Ad Source can be created | 305
Megafon | KS-6062 Verify that Internal User can be deleted | 167
Megafon | KS-6110 PSS: Users: Verify that sites can be edited for users | 472
Megafon | KS-6154 PSS Verify that its possible to set up Block bidders settings at RTB Default settings | 4106
Envisia | KS-4787 PSS Verify that positions and sites can be selected for new Campaign Position | 267
Envisia | KS-5294 PSS Campaign Direct Campaign data in all sections can be saved by Next Back buttons | 0
Envisia | KS-5359 PSS Campaign Targeting verify that Block specific devices can be saved | 325
Envisia | KS-5362 PSS Campaign Targeting verify that iOS specific versions can be saved | 598
Envisia | KS-5399 Impersonate PSS Campaign Status verify that incomplete campaign can be changed to running | 0
Envisia | KS-5409 PSS Campagin Status verify that running campaign can be edited | 0
Envisia | KS-5430 PSS Campaign Creatives verify that creative and 3rd party tag can be deleted | 0
Envisia | KS-5444 PSS Campaigns Targeting Country Targeting verify that blocked countries can be selected | 438
Envisia | KS-5841 Verify that MM Network Ad Source can be created | 323
Envisia | KS-6010 Verify AND search for Available suppliers grid | 1081
Envisia | KS-6265 Verify that Seller admin can be created | 472
Envisia | KS-6279 Verify that Seller user can be deleted | 146
Iota | KS-1824 Verify that Traffic Filters can be saved | 844
Iota | KS-2395 AVM Verify that filter can be selected for AVP | 1080
Iota | KS-2571 AVP verify that actions can be performed when status is To Verify | 201
Iota | KS-2572 AVP verify that actions can be performed when status is Verified | 140
Iota | KS-2860 Ad server Verify that summary section and campaigns grid are displayed | 911
Iota | KS-3173 Verify that enabled or disabled deals can be disabled or enabled | 444
Iota | KS-3285 Verify behavior of Add selected button in Supply List grid | 4648
Iota | KS-3296 Verify drilldown views links in Supply List grid | 133
Iota | KS-3317 Deals Supply List verify that Buyer can be added | 33
Iota | KS-3318 Deals Supply List verify that buyer can be edited and deleted | 500
Iota | KS-3483 PSS Date selection tool is displayed correctly | 402
Iota | KS-3695 Ad Server New Campaign verify that 3rd party tag can be edited | 652
Iota | KS-3722 Ad Server New campaign verify that general section can be filled in | 405
Iota | KS-405 Verify that Reports tabs can be added | null
Iota | KS-408 Verify that Reports tabs can be removed | 85
Iota | KS-409 Verify that Reports tabs can be collapsed and expanded | 46
